"Customer ID","gender","age","city","Membership Type","Total Spend","Items Purchased","Average Rating","Discount Applied","Days Since Last Purchase","Satisfaction Level"
101,Female,29,New York,Gold,1120.2,14,4.6,true,25,Satisfied
302,Female,29,Miami,Silver,730.4,14,4.0,true,50,Unsatisfied
251,Female,30,New York,Gold,1180.8,16,4.7,true,19,Satisfied
364,Female,30,New York,Gold,1200.8,16,4.7,true,22,Satisfied
131,Female,30,New York,Gold,1190.8,16,4.5,true,20,Satisfied
239,Female,30,New York,Gold,1180.8,16,4.7,true,19,Satisfied
352,Female,30,New York,Gold,1170.8,16,4.7,true,21,Satisfied
412,Female,30,New York,Gold,1200.8,16,4.7,true,25,Satisfied
436,Female,30,New York,Gold,1200.8,16,4.7,true,28,Satisfied
161,Female,30,New York,Gold,1190.8,16,4.5,true,20,Satisfied
334,Female,30,New York,Gold,1190.8,16,4.5,true,20,Satisfied
322,Female,30,New York,Gold,1180.8,16,4.7,true,19,Satisfied
448,Female,30,New York,Gold,1190.8,16,4.5,true,28,Satisfied
281,Female,30,New York,Gold,1180.8,16,4.7,true,19,Satisfied
209,Female,30,New York,Gold,1180.8,16,4.7,true,19,Satisfied
191,Female,30,New York,Gold,1190.8,16,4.5,true,20,Satisfied
376,Female,30,New York,Gold,1190.8,16,4.5,true,23,Satisfied
400,Female,30,New York,Gold,1190.8,16,4.5,true,25,Satisfied
263,Female,30,New York,Gold,1190.8,16,4.5,true,20,Satisfied
179,Female,30,New York,Gold,1180.8,16,4.7,true,19,Satisfied
424,Female,30,New York,Gold,1190.8,16,4.5,true,27,Satisfied
388,Female,30,New York,Gold,1200.8,16,4.7,true,24,Satisfied
113,Female,30,New York,Gold,1200.8,16,4.3,true,21,Satisfied
149,Female,30,New York,Gold,1180.8,16,4.7,true,19,Satisfied
293,Female,30,New York,Gold,1190.8,16,4.5,true,20,Satisfied
221,Female,30,New York,Gold,1190.8,16,4.5,true,20,Satisfied
275,Female,31,New York,Gold,1140.6,15,4.5,true,27,Satisfied
185,Female,31,New York,Gold,1140.6,15,4.6,true,27,Satisfied
107,Female,31,New York,Gold,1150.6,15,4.5,true,28,Satisfied
358,Female,31,New York,Gold,1160.6,15,4.5,true,29,Satisfied
370,Female,31,New York,Gold,1140.6,15,4.5,true,30,Satisfied
173,Female,31,New York,Gold,1130.6,15,4.5,true,26,Satisfied
233,Female,31,New York,Gold,1130.6,15,4.5,true,26,Satisfied
442,Female,31,New York,Gold,1140.6,15,4.5,true,36,Satisfied
430,Female,31,New York,Gold,1160.6,15,4.5,true,35,Satisfied
125,Female,31,New York,Gold,1140.6,15,4.6,true,27,Satisfied
418,Female,31,New York,Gold,1140.6,15,4.5,true,34,Satisfied
245,Female,31,New York,Gold,1130.6,15,4.5,true,26,Satisfied
316,Female,31,New York,Gold,1130.6,15,4.5,true,26,Satisfied
257,Female,31,New York,Gold,1140.6,15,4.6,true,27,Satisfied
215,Female,31,New York,Gold,1140.6,15,4.6,true,27,Satisfied
406,Female,31,New York,Gold,1160.6,15,4.5,true,33,Satisfied
328,Female,31,New York,Gold,1140.6,15,4.5,true,27,Satisfied
143,Female,31,New York,Gold,1130.6,15,4.5,true,26,Satisfied
203,Female,31,New York,Gold,1130.6,15,4.5,true,26,Satisfied
287,Female,31,New York,Gold,1130.6,15,4.5,true,26,Satisfied
394,Female,31,New York,Gold,1140.6,15,4.5,true,32,Satisfied
155,Female,31,New York,Gold,1140.6,15,4.6,true,27,Satisfied
346,Female,31,New York,Gold,1150.6,15,4.5,true,28,Satisfied
382,Female,31,New York,Gold,1160.6,15,4.5,true,31,Satisfied
299,Female,32,New York,Gold,1160.3,14,4.4,true,22,Satisfied
197,Female,32,New York,Gold,1160.3,14,4.4,true,22,Satisfied
227,Female,32,New York,Gold,1160.3,14,4.4,true,22,Satisfied
340,Female,32,New York,Gold,1160.3,14,4.4,true,22,Satisfied
167,Female,32,New York,Gold,1160.3,14,4.4,true,22,Satisfied
119,Female,32,New York,Gold,1170.3,14,4.7,true,29,Satisfied
137,Female,32,New York,Gold,1160.3,14,4.4,true,22,Satisfied
310,Female,32,New York,Gold,1170.3,14,4.5,true,21,Satisfied
269,Female,32,New York,Gold,1160.3,14,4.4,true,22,Satisfied
303,Female,35,Houston,Bronze,450.6,7,3.3,false,21,Neutral
363,Female,36,Houston,Bronze,430.5,8,3.1,false,21,Neutral
112,Female,36,Houston,Bronze,470.5,7,3.2,false,20,Neutral
262,Female,36,Houston,Bronze,460.5,8,3.1,false,19,Neutral
435,Female,36,Houston,Bronze,440.5,8,3.1,false,28,Neutral
423,Female,36,Houston,Bronze,470.5,8,3.0,false,26,Neutral
130,Female,36,Houston,Bronze,460.5,8,3.1,false,19,Neutral
411,Female,36,Houston,Bronze,440.5,8,3.1,false,24,Neutral
399,Female,36,Houston,Bronze,470.5,8,3.0,false,22,Neutral
148,Female,36,Houston,Bronze,470.5,8,3.0,false,18,Neutral
447,Female,36,Houston,Bronze,470.5,8,3.0,false,27,Neutral
387,Female,36,Houston,Bronze,440.5,8,3.1,false,23,Neutral
160,Female,36,Houston,Bronze,460.5,8,3.1,false,19,Neutral
375,Female,36,Houston,Bronze,470.5,8,3.0,false,22,Neutral
178,Female,36,Houston,Bronze,470.5,8,3.0,false,18,Neutral
351,Female,36,Houston,Bronze,480.5,8,3.1,false,20,Neutral
190,Female,36,Houston,Bronze,460.5,8,3.1,false,19,Neutral
333,Female,36,Houston,Bronze,460.5,8,3.1,false,19,Neutral
208,Female,36,Houston,Bronze,470.5,8,3.0,false,18,Neutral
321,Female,36,Houston,Bronze,470.5,8,3.0,false,18,Neutral
220,Female,36,Houston,Bronze,460.5,8,3.1,false,19,Neutral
292,Female,36,Houston,Bronze,460.5,8,3.1,false,19,Neutral
238,Female,36,Houston,Bronze,470.5,8,3.0,false,18,Neutral
280,Female,36,Houston,Bronze,470.5,8,3.0,false,18,Neutral
250,Female,36,Houston,Bronze,470.5,8,3.0,false,18,Neutral
381,Female,37,Houston,Bronze,430.8,7,3.4,false,27,Neutral
441,Female,37,Houston,Bronze,450.8,7,3.4,false,32,Neutral
345,Female,37,Houston,Bronze,440.8,7,3.2,false,25,Neutral
154,Female,37,Houston,Bronze,430.8,7,3.4,false,23,Neutral
393,Female,37,Houston,Bronze,450.8,7,3.4,false,28,Neutral
286,Female,37,Houston,Bronze,430.8,7,3.4,false,23,Neutral
202,Female,37,Houston,Bronze,420.8,7,3.1,false,21,Neutral
142,Female,37,Houston,Bronze,420.8,7,3.1,false,21,Neutral
327,Female,37,Houston,Bronze,430.8,7,3.4,false,23,Neutral
244,Female,37,Houston,Bronze,430.8,7,3.4,false,23,""
405,Female,37,Houston,Bronze,430.8,7,3.4,false,29,Neutral
256,Female,37,Houston,Bronze,430.8,7,3.4,false,23,Neutral
214,Female,37,Houston,Bronze,430.8,7,3.4,false,23,Neutral
315,Female,37,Houston,Bronze,420.8,7,3.4,false,24,Neutral
417,Female,37,Houston,Bronze,450.8,7,3.4,false,30,Neutral
274,Female,37,Houston,Bronze,430.8,7,3.4,false,23,Neutral
124,Female,37,Houston,Bronze,430.8,7,3.4,false,23,Neutral
429,Female,37,Houston,Bronze,430.8,7,3.4,false,31,Neutral
232,Female,37,Houston,Bronze,420.8,7,3.1,false,21,Neutral
172,Female,37,Houston,Bronze,420.8,7,3.1,false,21,""
369,Female,37,Houston,Bronze,450.8,7,3.4,false,24,Neutral
106,Female,37,Houston,Bronze,440.8,8,3.1,false,22,Neutral
357,Female,37,Houston,Bronze,410.8,7,3.4,false,26,Neutral
184,Female,37,Houston,Bronze,430.8,7,3.4,false,23,Neutral
226,Female,38,Houston,Bronze,440.9,8,3.2,false,24,Neutral
166,Female,38,Houston,Bronze,440.9,8,3.2,false,24,Neutral
298,Female,38,Houston,Bronze,440.9,8,3.2,false,24,Neutral
309,Female,38,Houston,Bronze,460.9,8,3.2,false,25,Neutral
196,Female,38,Houston,Bronze,440.9,8,3.2,false,24,Neutral
339,Female,38,Houston,Bronze,440.9,8,3.2,false,24,Neutral
268,Female,38,Houston,Bronze,440.9,8,3.2,false,24,Neutral
136,Female,38,Houston,Bronze,440.9,8,3.2,false,24,Neutral
118,Female,38,Houston,Bronze,450.9,8,3.0,false,25,Neutral
420,Female,41,Chicago,Bronze,475.25,9,3.6,true,46,Unsatisfied
127,Female,41,Chicago,Bronze,485.25,9,3.6,true,39,Unsatisfied
360,Female,41,Chicago,Bronze,495.25,9,3.6,true,41,Unsatisfied
289,Female,41,Chicago,Bronze,485.25,9,3.6,true,39,Unsatisfied
187,Female,41,Chicago,Bronze,485.25,9,3.6,true,39,Unsatisfied
348,Female,41,Chicago,Bronze,490.25,9,3.6,true,40,Unsatisfied
384,Female,41,Chicago,Bronze,495.25,9,3.6,true,43,Unsatisfied
157,Female,41,Chicago,Bronze,485.25,9,3.6,true,39,Unsatisfied
175,Female,41,Chicago,Bronze,480.25,9,3.6,true,38,Unsatisfied
408,Female,41,Chicago,Bronze,495.25,9,3.6,true,45,Unsatisfied
109,Female,41,Chicago,Bronze,495.25,10,3.6,true,40,Unsatisfied
277,Female,41,Chicago,Bronze,480.25,9,3.6,true,38,Unsatisfied
318,Female,41,Chicago,Bronze,480.25,9,3.6,true,39,Unsatisfied
259,Female,41,Chicago,Bronze,485.25,9,3.6,true,39,Unsatisfied
217,Female,41,Chicago,Bronze,485.25,9,3.6,true,39,Unsatisfied
372,Female,41,Chicago,Bronze,475.25,9,3.6,true,42,Unsatisfied
247,Female,41,Chicago,Bronze,480.25,9,3.6,true,38,Unsatisfied
432,Female,41,Chicago,Bronze,495.25,9,3.6,true,47,Unsatisfied
444,Female,41,Chicago,Bronze,475.25,9,3.6,true,48,Unsatisfied
396,Female,41,Chicago,Bronze,475.25,9,3.6,true,44,Unsatisfied
145,Female,41,Chicago,Bronze,480.25,9,3.6,true,38,Unsatisfied
330,Female,41,Chicago,Bronze,485.25,9,3.6,true,39,Unsatisfied
205,Female,41,Chicago,Bronze,480.25,9,3.6,true,38,Unsatisfied
235,Female,41,Chicago,Bronze,480.25,9,3.6,true,38,Unsatisfied
295,Female,42,Chicago,Bronze,520.4,9,3.5,true,37,Unsatisfied
163,Female,42,Chicago,Bronze,520.4,9,3.5,true,37,Unsatisfied
193,Female,42,Chicago,Bronze,520.4,9,3.5,true,37,Unsatisfied
115,Female,42,Chicago,Bronze,530.4,9,3.5,true,38,Unsatisfied
306,Female,42,Chicago,Bronze,495.25,10,3.5,true,35,Unsatisfied
223,Female,42,Chicago,Bronze,520.4,9,3.5,true,37,Unsatisfied
133,Female,42,Chicago,Bronze,520.4,9,3.5,true,37,Unsatisfied
336,Female,42,Chicago,Bronze,520.4,9,3.5,true,37,Unsatisfied
265,Female,42,Chicago,Bronze,520.4,9,3.5,true,37,Unsatisfied
450,Female,43,Chicago,Bronze,515.75,10,3.3,true,49,Unsatisfied
103,Female,43,Chicago,Bronze,510.75,9,3.4,true,42,Unsatisfied
121,Female,43,Chicago,Bronze,505.75,10,3.3,true,41,Unsatisfied
139,Female,43,Chicago,Bronze,500.75,10,3.3,true,40,Unsatisfied
151,Female,43,Chicago,Bronze,505.75,10,3.3,true,39,Unsatisfied
169,Female,43,Chicago,Bronze,500.75,10,3.3,true,40,Unsatisfied
181,Female,43,Chicago,Bronze,505.75,10,3.3,true,39,Unsatisfied
199,Female,43,Chicago,Bronze,500.75,10,3.3,true,40,Unsatisfied
211,Female,43,Chicago,Bronze,505.75,10,3.3,true,39,Unsatisfied
229,Female,43,Chicago,Bronze,500.75,10,3.3,true,40,Unsatisfied
241,Female,43,Chicago,Bronze,505.75,10,3.3,true,39,Unsatisfied
253,Female,43,Chicago,Bronze,505.75,10,3.3,true,39,Unsatisfied
271,Female,43,Chicago,Bronze,500.75,10,3.3,true,40,Unsatisfied
283,Female,43,Chicago,Bronze,505.75,10,3.3,true,39,Unsatisfied
312,Female,43,Chicago,Bronze,515.75,9,3.3,true,38,Unsatisfied
324,Female,43,Chicago,Bronze,505.75,10,3.3,true,39,Unsatisfied
342,Female,43,Chicago,Bronze,525.75,9,3.3,true,40,Unsatisfied
354,Female,43,Chicago,Bronze,510.75,10,3.3,true,41,Unsatisfied
366,Female,43,Chicago,Bronze,505.75,10,3.3,true,42,Unsatisfied
